

@relation 'DatosUtilizadosAlfredoDGB2-GTM-982'
@attribute MARKS real
@attribute PC-ACTIV real
@attribute PC-ASSIST real
@attribute AGE real
@attribute AVER-INHOUSE real
@attribute AVER-FORUM real
@attribute AVER-MAIL real
@attribute AVER-CLASS real
@data
2.95,65.51724138,86.66666667,42.72,10,9,10,0
2.2,65.51724138,93.33333333,33.46,10,10,4,0
1.85,65.51724138,80,37.51,8,10,0,0
1.35,65.51724138,80,48.33,9,0,0,0
1.2,65.51724138,80,60.49,8,0,0,0
2.8,65.51724138,86.66666667,38.91,10,10,10,0
2.4,65.51724138,100,35.74,9,10,5,0
1.35,65.51724138,93.33333333,40.40,9,0,0,0
2.9,65.51724138,86.66666667,37.92,10,9,9,0
3,65.51724138,100,34.22,10,10,10,0
2.55,65.51724138,86.66666667,47.46,10,10,5,0
8.85,65.51724138,93.33333333,46.48,10,10,10,10
2.65,65.51724138,86.66666667,32.32,10,9,5,0
3,65.51724138,100,51.69,10,10,10,0
2.4,65.51724138,100,43.23,10,10,5,0
7.8,65.51724138,100,53.57,9,9,9,7
2.7,27.5862069,80,33.63,10,8,8,0
7.05,65.51724138,93.33333333,37.56,10,3,5,10
2.75,65.51724138,100,28.61,10,8,9,0
2.4,65.51724138,100,41.94,10,5,4,0
1.55,27.5862069,80,34.79,9,4,0,0
2.65,65.51724138,86.66666667,38.97,10,10,10,0
0,62.06896552,40,54.30,0,0,0,0
9.5,65.51724138,86.66666667,29.45,10,10,9,9
3,65.51724138,73.33333333,38.09,10,10,10,0
9.35,65.51724138,73.33333333,41.71,10,7,10,10
1.35,65.51724138,100,53.62,9,0,0,0
2.5,65.51724138,100,53.22,9,8,8,0
2.15,27.5862069,100,31.42,10,8,5,0
2.75,65.51724138,100,55.66,10,8,9,0
1.5,65.51724138,100,45.53,10,0,0,0
2.9,65.51724138,86.66666667,26.07,10,10,10,0
2.6,65.51724138,100,36.84,10,10,5,0
2.6,65.51724138,100,27.65,9,10,5,0
1.2,62.06896552,46.66666667,40.19,0,10,5,0
2.75,65.51724138,100,45.01,10,10,5,0
2.75,65.51724138,100,45.21,10,8,9,0
1,62.06896552,46.66666667,44.64,0,8,5,0
1.9,65.51724138,100,45.83,9,4,0,0
2.65,65.51724138,100,32.94,9,7,10,0
